Номенклатура,Код партнера,СП,РИЦ ЛЕРУА,РИЦ,Unnamed: 5
Hansa BHC36106,82471809,СП-00028781,14249,14 990,https://spb.lemanapro.ru/product/elektricheskaya-varochnaya-panel-hansa-bhc36106-30-sm-2-konforki-cvet-chernyy-82471809/
Hansa BHC66506,82471810,СП-00028780,24990,27 490,https://spb.lemanapro.ru/product/elektricheskaya-varochnaya-panel-hansa-bhc66506-60-sm-4-konforki-cvet-chernyy-82471810/
Hansa BK2676.2NFZC,86745691,СП-00062216,83990,99 990,https://spb.lemanapro.ru/product/holodilnik-dvuhkamernyy-hansa-bk26762nfzc-54x193x55-sm-cvet-belyy-86745691/
Hansa BK307.2NFZC,83609120,СП-00047378,80990,92 990,https://spb.lemanapro.ru/product/holodilnik-dvuhkamernyy-vstraivaemyy-hansa-bk3072nfzc-54x177x55-sm-cvet-belyy-83609120/
Hansa BOEI68450015,82471813,СП-00047375,42990,64 990,https://spb.lemanapro.ru/product/elektricheskiy-duhovoy-shkaf-hansa-boei68450015-595x595x575-sm-konvekciya-cvet-serebristyy-chernyy-82471813/
Hansa BOES68433,82554714,СП-00046677,47990,48 990,https://spb.lemanapro.ru/product/elektricheskiy-duhovoy-shkaf-hansa-boes68433-595x575x595-sm-cvet-chernyy-82554714/
Hansa BOEW68433,82554713,СП-00045899,37990,48 990,https://spb.lemanapro.ru/product/elektricheskiy-duhovoy-shkaf-hansa-boew68433-595x575x595-sm-konvekciya-cvet-belyy-82554713/
Hansa BHI683200,86648552,СП-00045796,19990,24 990,https://spb.lemanapro.ru/product/indukcionnaya-varochnaya-panel-hansa-bhi683200-59-sm-4-konforki-cvet-chernyy-86648552/
Hansa BHKS65135,86745694,СП-00049847,21990,30 990,https://spb.lemanapro.ru/product/gazovaya-varochnaya-panel-hansa-bhks6513-60-sm-4-konforki-cvet-chernyy-86745694/
Hansa BHGI65135,86745693,СП-00030963,17998,25 490,https://spb.lemanapro.ru/product/gazovaya-varochnaya-panel-hansa-bhgi65135-555-sm-4-konforki-cvet-nerzhaveyushchaya-stal-86745693/
Hansa BHKS330500,82471811,СП-00033229,13990,16 490,https://spb.lemanapro.ru/product/gazovaya-varochnaya-panel-hansa-bhks330500-30-sm-2-konforki-cvet-chernyy-82471811/
Hansa BHKW330500,82471812,СП-00032955,13990,14 990,https://spb.lemanapro.ru/product/gazovaya-varochnaya-panel-hansa-bhkw330500-30-sm-2-konforki-cvet-belyy-82471812/
Hansa AMM20BESH,18584382,СП-00028822,27990,28 990,https://spb.lemanapro.ru/product/mikrovolnovaya-pech-hansa-amm20besh-vstraivaemaya-20-l-595x343x388-sm-mehanicheskoe-upravlenie-cvet-chernyy-18584382/
Hansa ZIM408EH,82166042,СП-00046909,39990,44 990,https://spb.lemanapro.ru/product/vstraivaemaya-posudomoechnaya-mashina-hansa-zim-408eh-45-sm-8-programm-cvet-chernyy-82166042/
Hansa ZIM608EH,82166043,СП-00046910,42990,47 990,https://spb.lemanapro.ru/product/vstraivaemaya-posudomoechnaya-mashina-hansa-zim-608eh-60-sm-8-programm-cvet-belyy-82166043/
Hansa OMP6212SIH,89443959,СП-00050595,12990,12 990,пока не появилась
